                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2917,                 2.3902,                 1.8652,                 1.5551,                0.06191,                 0.2289,                0.02336,                0.01137,                 0.0265,                0.10227,                0.00407,                 0.0009,                 3.2879,                 12.195,                 5.0039,                 4.4441,               0.070182,              0.0033131,              0.0033131
                      2,                 1.4087,                 2.4859,                 1.7276,                 1.6261,                0.15159,                0.43994,                0.06722,                0.03204,                0.14253,                0.36851,                0.05882,                0.03182,                 2.5147,                 5.9805,                 9.6181,                 2.9593,               0.040072,              0.0065368,              0.0065368
                      3,                  1.328,                 2.3493,                 1.6094,                  1.568,                0.57575,                0.17857,                0.12078,                0.08482,                0.57575,                0.17857,                0.12246,                0.08979,                 1.8188,                 4.9784,                 4.5611,                 2.1599,              0.0098525,              0.0096505,              0.0096505
                      4,                 1.2521,                 2.2287,                 1.4853,                  1.505,                0.60944,                0.29454,                 0.2591,                0.15953,                0.57634,                0.28805,                0.23561,                0.16372,                 2.2694,                 5.0118,                 3.3026,                 2.7052,               0.009505,               0.009505,               0.009505
                      5,                 1.1464,                 2.1038,                 1.3446,                 1.4216,                0.26734,                0.45779,                0.19903,                0.14025,                0.27187,                0.49351,                0.20346,                0.15398,                 1.9606,                 2.6979,                 3.4644,                 2.2855,                0.00934,                0.00934,                0.00934
                      6,                 1.0806,                 2.0038,                 1.2656,                 1.3788,                0.74482,                0.38156,                 0.4083,                0.26961,                0.61131,                0.46905,                 0.4514,                0.32238,                 1.9179,                 2.9699,                 2.8477,                 2.1531,               0.009175,               0.009175,               0.009175
                      7,                 1.0196,                 1.8943,                 1.1879,                 1.3412,                0.76399,                0.77825,                0.79188,                0.57515,                0.76775,                 0.7815,                0.79539,                0.64792,                 1.2024,                 1.6479,                 1.4922,                 1.4904,                0.00901,                0.00901,                0.00901
                      8,                0.99698,                 1.8369,                 1.1479,                 1.3132,                0.87768,                0.70777,                0.82998,                0.62647,                0.87768,                0.70777,                0.82884,                0.66769,                 1.1864,                 1.8847,                 1.3284,                 1.4716,               0.008845,               0.008845,               0.008845
                      9,                 0.9733,                  1.817,                 1.1163,                  1.311,                0.73946,                0.77736,                 0.7559,                0.52586,                0.73619,                0.77411,                0.75414,                0.55315,                  1.145,                 2.0098,                 1.2708,                 1.4972,                0.00868,                0.00868,                0.00868
                     10,                 0.9338,                 1.6957,                   1.05,                 1.2734,                0.67517,                0.73701,                0.82718,                0.63801,                0.67184,                0.73701,                0.83516,                0.71635,                 1.1384,                 1.5224,                 1.3473,                 1.4421,               0.008515,               0.008515,               0.008515
                     11,                0.93396,                 1.7383,                 1.0632,                 1.2783,                 0.5851,                0.59494,                0.66241,                0.50307,                0.60249,                0.60468,                0.67842,                0.51584,                 1.0785,                 2.2989,                 1.5945,                 1.4855,                0.00835,                0.00835,                0.00835
                     12,                 0.9141,                 1.6999,                 1.0319,                 1.2576,                0.61617,                0.65547,                0.65403,                0.49085,                0.62454,                0.67296,                0.66191,                0.52609,                 0.9906,                 1.6614,                 1.6369,                 1.3854,               0.008185,               0.008185,               0.008185
                     13,                0.89516,                 1.6609,                 1.0149,                 1.2542,                0.88743,                0.81231,                0.88121,                 0.7345,                0.88759,                0.81204,                0.87913,                0.75087,                0.80708,                 1.4865,                0.88417,                 1.2152,                0.00802,                0.00802,                0.00802
                     14,                0.89483,                 1.6607,                 1.0171,                 1.2448,                0.83094,                0.69664,                0.85186,                 0.6575,                0.86144,                 0.6706,                0.83575,                0.70624,                0.90946,                 1.5629,                0.95089,                 1.2398,               0.007855,               0.007855,               0.007855
                     15,                 0.8306,                 1.5628,                0.93005,                  1.212,                0.69774,                0.46916,                0.39523,                0.26762,                0.70627,                0.46916,                0.42494,                0.28934,                 1.5295,                 3.0748,                   2.91,                 1.8148,                0.00769,                0.00769,                0.00769
                     16,                0.85274,                 1.5635,                0.92502,                 1.2144,                0.81462,                 0.7737,                0.85213,                0.68202,                0.81462,                 0.7737,                0.85323,                0.74138,                0.96846,                 1.3595,                0.96168,                 1.3309,               0.007525,               0.007525,               0.007525
                     17,                0.84779,                 1.5678,                0.91922,                 1.2095,                0.89009,                 0.7987,                0.89006,                0.73648,                0.89009,                 0.7987,                0.88973,                0.79555,                0.90097,                 1.4273,                0.84561,                  1.188,                0.00736,                0.00736,                0.00736
                     18,                0.84414,                 1.5639,                0.91428,                 1.2058,                0.74724,                0.70681,                  0.817,                0.65186,                0.74724,                0.70681,                0.81928,                0.69443,                 1.0133,                 1.7118,                 1.0871,                 1.3988,               0.007195,               0.007195,               0.007195
                     19,                0.81245,                 1.4992,                0.90362,                 1.1899,                0.78309,                0.82129,                0.84796,                0.67087,                0.79859,                0.83929,                0.85985,                0.74308,                 1.0423,                 1.3324,                 1.0483,                 1.2886,                0.00703,                0.00703,                0.00703
                     20,                 0.8163,                 1.5126,                0.89918,                 1.1979,                0.89844,                0.74096,                0.88433,                0.71199,                0.88781,                0.77252,                0.88359,                0.75501,                0.88549,                 1.3223,                0.89396,                 1.2509,               0.006865,               0.006865,               0.006865
